name,type,len,default,not-null,primary-key,comment,table-comment
REPOSITORY.id,VARCHAR,50,,1,1,id,仓库信息
REPOSITORY.createTimeMillis,BIGINT,,,,,'数据创建时间',
REPOSITORY.modifyTimeMillis,BIGINT,,,,,'数据修改时间',
REPOSITORY.`name`,VARCHAR,50,,,,仓库名称,
REPOSITORY.gitUrl,varchar,255,,,,仓库地址,
REPOSITORY.repoType,int,,,,,仓库类型{0: GIT 1: SVN},
REPOSITORY.protocol,int,,,,,拉取代码的协议{0: http 1: ssh},
REPOSITORY.userName,VARCHAR,50,,,,登录用户,
REPOSITORY.password,VARCHAR,50,,,,登录密码,
REPOSITORY.rsaPub,VARCHAR,2048,,,,SSH RSA 公钥,
REPOSITORY.rsaPrv,VARCHAR,4096,,,,SSH RSA 私钥',
REPOSITORY.strike,int,,0,,,逻辑删除{1，删除，0 未删除(默认)},
BUILD_INFO.id,VARCHAR,50,,1,1,id,构建信息
BUILD_INFO.repositoryId,VARCHAR,50,,1,,仓库 id',
BUILD_INFO.createTimeMillis,BIGINT,,,,,数据创建时间',
BUILD_INFO.modifyTimeMillis,BIGINT,,,,,数据修改时间',
BUILD_INFO.`name`,VARCHAR,50,,,,构建名称',
BUILD_INFO.buildId,int ,,,,,构建 id',
BUILD_INFO.`group`,VARCHAR,50,,,,分组名称',
BUILD_INFO.branchName,VARCHAR,50,,,,分支',
BUILD_INFO.script,CLOB ,,,,,构建命令',
BUILD_INFO.resultDirFile,VARCHAR,200,,,,构建产物目录',
BUILD_INFO.releaseMethod,int ,,,,,发布方法{0: 不发布 1: 节点分发 2: 分发项目 3: SSH}',
BUILD_INFO.modifyUser,VARCHAR,50,,,,修改人',
BUILD_INFO.`status`,int,,,,,状态',
BUILD_INFO.triggerToken,VARCHAR,20,,,,触发器token',
BUILD_INFO.extraData,CLOB,,,,,额外信息，JSON 字符串格式',
BUILD_INFO.releaseMethodDataId,VARCHAR,200,,,,构建关联的数据ID',
